time,ax,ay,az,atotal
5.490,-0.00,-0.02,0.03,0.03
5.500,0.02,0.00,0.03,0.04
5.510,0.05,0.01,0.02,0.06
5.520,0.07,0.00,0.02,0.07
5.531,0.11,-0.01,0.04,0.12
5.541,0.15,-0.03,0.05,0.16
5.551,0.13,-0.08,-0.01,0.15
5.561,0.07,-0.08,-0.04,0.11
5.571,0.06,-0.05,0.00,0.07
5.581,0.02,-0.02,0.03,0.04
5.591,0.00,-0.01,0.04,0.04
5.601,-0.01,-0.04,0.03,0.05
5.611,-0.00,-0.04,-0.01,0.04
5.621,-0.01,-0.02,-0.09,0.09
5.631,-0.03,0.02,-0.15,0.16
5.641,-0.03,0.04,-0.17,0.17
5.651,-0.01,0.02,-0.12,0.12
5.661,0.00,0.02,-0.08,0.08
5.671,0.01,-0.01,-0.01,0.02
5.681,0.02,-0.05,0.03,0.07
5.691,0.04,-0.08,0.03,0.10
5.701,0.06,-0.09,-0.03,0.11
5.711,0.11,-0.06,-0.04,0.13
5.722,0.13,-0.02,-0.03,0.13
5.732,0.10,-0.02,-0.01,0.10
5.742,0.06,-0.01,0.03,0.07
5.752,0.02,0.01,0.05,0.05
5.762,0.02,-0.01,0.04,0.05
5.772,0.03,-0.04,0.03,0.05
5.782,0.03,-0.06,-0.01,0.07
5.792,0.03,-0.06,-0.01,0.07
5.802,0.04,-0.04,0.02,0.06
5.812,0.01,-0.02,0.00,0.03
5.822,0.00,0.01,-0.01,0.02
5.832,0.00,0.00,0.01,0.01
5.842,-0.00,-0.02,0.04,0.05
5.852,-0.02,-0.05,0.03,0.06
5.862,0.02,-0.06,0.05,0.08
5.873,0.05,-0.05,0.05,0.09
5.883,0.07,-0.04,0.05,0.10
5.893,0.06,-0.04,0.03,0.08
5.903,0.05,-0.03,0.02,0.06
5.913,0.04,-0.03,0.03,0.06
5.923,0.04,-0.02,0.07,0.08
5.933,0.04,-0.05,0.06,0.09
5.943,0.04,-0.05,0.03,0.07
5.953,0.06,-0.03,0.00,0.07
5.963,0.05,-0.03,0.00,0.05
5.973,0.03,-0.00,0.02,0.04
5.983,0.01,-0.00,0.02,0.02
5.993,-0.00,-0.03,0.05,0.06
6.003,0.02,-0.02,0.08,0.09
6.013,0.05,0.00,0.08,0.09
6.024,0.06,0.02,0.05,0.07
6.033,0.06,-0.01,0.02,0.06
6.043,0.03,-0.03,0.03,0.05
6.053,0.04,-0.07,0.05,0.09
6.063,0.06,-0.08,0.03,0.11
6.074,0.08,-0.09,-0.04,0.12
6.084,0.06,-0.05,-0.06,0.09
6.094,0.03,-0.02,-0.07,0.07
6.104,-0.03,-0.00,-0.06,0.06
6.114,-0.02,-0.00,-0.05,0.06
6.124,-0.02,0.01,-0.02,0.04
6.134,-0.01,0.01,0.01,0.02
6.144,-0.01,0.01,0.02,0.02
6.154,0.01,-0.00,0.06,0.06
6.164,0.03,-0.05,0.04,0.07
6.174,0.06,-0.06,0.01,0.08
6.184,0.06,-0.06,0.01,0.09
6.194,0.07,-0.05,-0.01,0.08
6.204,0.05,-0.04,-0.01,0.07
6.214,0.04,-0.02,-0.02,0.06
6.224,0.06,-0.01,0.01,0.06
6.235,0.07,-0.03,0.04,0.08
6.244,0.05,-0.03,0.03,0.07
6.255,0.06,-0.01,-0.01,0.06
6.265,0.07,-0.02,-0.04,0.08
6.275,0.05,-0.00,-0.03,0.06
6.285,0.05,0.00,-0.01,0.05
6.295,0.06,0.03,0.01,0.06
6.305,0.11,0.00,0.02,0.11
6.315,0.11,-0.03,-0.01,0.12
6.325,0.08,-0.05,-0.04,0.11
6.335,0.08,-0.06,-0.05,0.11
6.345,0.05,-0.05,-0.03,0.07
6.355,0.03,-0.02,-0.05,0.06
6.365,0.00,0.03,-0.05,0.06
6.375,-0.02,0.05,-0.02,0.06
6.385,-0.04,0.04,-0.04,0.06
6.395,-0.04,0.02,-0.04,0.06
6.405,-0.03,-0.03,-0.01,0.05
6.416,0.00,-0.06,0.01,0.06
6.425,-0.02,-0.07,-0.02,0.07
6.436,-0.00,-0.05,-0.05,0.07
6.446,0.01,-0.04,-0.04,0.06
6.456,-0.01,-0.07,-0.01,0.07
6.466,0.00,-0.07,0.00,0.07
6.476,0.04,-0.05,0.02,0.07
6.486,0.05,-0.03,0.00,0.06
6.496,0.08,0.02,-0.02,0.08
6.506,0.12,0.01,-0.01,0.12
6.516,0.13,0.01,-0.02,0.14
6.526,0.09,-0.00,0.01,0.10
6.536,0.06,-0.04,0.02,0.08
6.546,0.04,-0.09,0.01,0.10
