time,ax,ay,az,atotal
6.144,-0.00,0.01,-0.01,0.01
6.154,-0.02,0.01,-0.00,0.02
6.164,-0.04,-0.00,0.03,0.05
6.174,-0.01,-0.02,0.06,0.06
6.184,-0.00,-0.04,0.04,0.06
6.194,-0.02,-0.02,0.01,0.03
6.205,-0.00,0.01,-0.01,0.02
6.215,-0.04,0.02,-0.04,0.06
6.225,-0.03,0.03,-0.05,0.07
6.235,-0.00,0.01,0.00,0.01
6.245,0.03,-0.00,0.04,0.05
6.255,0.04,-0.03,0.02,0.05
6.265,0.04,-0.01,0.02,0.05
6.275,0.05,0.01,-0.03,0.06
6.285,0.01,0.01,-0.04,0.04
6.295,0.01,-0.01,-0.03,0.04
6.305,0.02,-0.02,-0.00,0.03
6.315,0.01,-0.02,0.00,0.02
6.325,0.01,-0.02,0.02,0.03
6.335,0.02,-0.04,-0.02,0.04
6.345,0.02,-0.00,-0.05,0.05
6.355,0.01,0.02,-0.08,0.09
6.365,0.01,0.02,-0.09,0.09
6.375,-0.03,0.01,-0.05,0.06
6.385,-0.03,0.02,-0.04,0.06
6.396,-0.04,0.00,-0.05,0.06
6.406,-0.02,0.00,-0.04,0.04
6.416,0.01,0.03,-0.03,0.04
6.426,0.01,0.02,-0.05,0.05
6.436,0.02,0.00,-0.03,0.03
6.446,0.01,-0.01,-0.02,0.03
6.456,0.01,-0.02,0.00,0.02
6.466,0.01,-0.01,0.02,0.03
6.476,-0.00,-0.01,0.03,0.03
6.486,-0.01,-0.01,0.06,0.06
6.496,-0.00,-0.01,0.06,0.06
6.506,0.02,-0.03,0.07,0.08
6.516,0.02,-0.02,0.07,0.08
6.526,0.04,-0.02,0.04,0.06
6.536,0.05,-0.01,0.02,0.05
6.546,0.07,-0.01,0.00,0.07
6.556,0.06,-0.01,0.01,0.06
