time,ax,ay,az,atotal
5.934,0.02,0.06,0.08,0.11
5.944,0.01,0.11,-0.00,0.11
5.954,-0.00,0.13,-0.03,0.13
5.964,0.00,0.10,-0.04,0.11
5.974,0.02,0.07,-0.02,0.07
5.984,-0.00,0.05,0.03,0.06
5.994,0.01,-0.02,0.06,0.06
6.004,0.02,-0.09,0.08,0.12
6.014,0.01,-0.11,0.08,0.14
6.025,0.01,-0.12,0.09,0.15
6.035,0.06,-0.11,0.13,0.18
6.045,0.05,-0.06,0.11,0.13
6.055,0.07,-0.02,0.05,0.09
6.065,0.09,0.01,0.01,0.09
6.075,0.11,0.01,-0.02,0.11
6.085,0.10,0.00,0.01,0.10
6.095,0.09,-0.01,0.03,0.09
6.105,0.09,-0.02,0.05,0.10
6.115,0.08,-0.01,0.03,0.09
6.125,0.06,0.02,-0.03,0.07
6.135,0.01,0.01,-0.05,0.05
6.145,-0.00,0.02,0.02,0.03
6.155,-0.02,0.01,-0.00,0.02
6.165,-0.03,-0.01,-0.00,0.03
6.175,-0.02,-0.01,0.06,0.06
6.186,0.00,0.00,0.06,0.07
6.195,0.01,0.02,0.05,0.06
6.206,-0.01,0.05,0.03,0.06
6.216,0.01,0.05,0.01,0.05
6.226,0.00,0.04,0.03,0.05
6.236,-0.02,0.04,0.02,0.05
6.246,-0.04,0.00,0.03,0.05
6.256,-0.06,-0.00,0.03,0.06
6.266,-0.08,-0.03,-0.00,0.09
6.276,-0.09,-0.02,0.01,0.09
6.286,-0.09,-0.01,0.02,0.09
6.296,-0.06,-0.00,0.03,0.07
6.306,-0.03,-0.00,0.03,0.04
6.316,-0.02,-0.02,0.01,0.02
6.326,0.01,-0.02,0.03,0.04
6.336,-0.01,-0.03,0.05,0.05
6.346,0.01,-0.03,0.06,0.07
6.357,-0.00,-0.03,0.06,0.07
6.367,0.00,-0.02,0.02,0.03
6.377,0.00,-0.01,0.00,0.01
6.387,0.01,-0.03,0.00,0.03
6.397,0.02,0.01,0.02,0.03
6.407,0.01,0.02,0.01,0.03
6.417,0.02,0.02,0.01,0.03
6.427,0.01,0.03,0.02,0.04
6.437,0.02,0.04,0.01,0.05
6.447,0.02,0.04,0.00,0.04
6.457,0.02,0.01,-0.01,0.02
6.467,0.02,0.01,0.05,0.05
6.477,0.03,0.00,0.06,0.07
6.487,0.04,-0.00,0.04,0.05
6.497,0.03,-0.01,0.03,0.04
6.507,0.01,-0.04,0.01,0.04
6.517,-0.01,-0.03,-0.02,0.03
6.528,-0.02,-0.03,0.01,0.04
6.538,-0.04,-0.03,0.04,0.06
6.547,-0.03,-0.02,0.04,0.05
6.558,-0.03,-0.01,0.06,0.07
6.568,-0.01,-0.01,0.07,0.07
6.578,-0.01,-0.01,0.06,0.06
